name,groesse,gewicht,verein
Adriano Grimaldi,"1,88",76,1. FC Heidenheim 1846
Marcel Titsch-Rivero,"1,80",72,1. FC Heidenheim 1846
Rouven Sattelmaier,"1,87",85,1. FC Heidenheim 1846
Mateusz Klich,"1,83",68,1. FC Kaiserslautern
Karim Matmour,"1,81",72,1. FC Kaiserslautern
Florian Riedel,"1,76",70,1. FC Kaiserslautern
Kevin Stöger,"1,75",70,1. FC Kaiserslautern
Alexander Ring,"1,72",68,1. FC Kaiserslautern
Albert Bunjaku,"1,79",74,1. FC Kaiserslautern
Chris Löwe,"1,71",68,1. FC Kaiserslautern
Jakub Swierczok,"1,79",75,1. FC Kaiserslautern
Willi Orban,"1,85",80,1. FC Kaiserslautern
Dominique Heintz,"1,90",85,1. FC Kaiserslautern
Olivier Occean,"1,86",86,1. FC Kaiserslautern
Richard Sukuta-Pasu,"1,88",88,1. FC Kaiserslautern
Markus Karl,"1,87",88,1. FC Kaiserslautern
Tobias Sippel,"1,80",82,1. FC Kaiserslautern
Sascha Bigalke,"1,67",56,1. FC Köln
Timo Horn,"1,91",76,1. FC Köln
Kevin Vogt,"1,92",78,1. FC Köln
Miso Brecko,"1,78",68,1. FC Köln
Adam Matuschyk,"1,83",73,1. FC Köln
Slawomir Peszko,"1,72",65,1. FC Köln
Mikael Ishak,"1,86",76,1. FC Köln
Anthony Ujah,"1,84",75,1. FC Köln
Thomas Kessler,"1,95",85,1. FC Köln
Mergim Mavraj,"1,90",82,1. FC Köln
Daniel Halfar,"1,72",68,1. FC Köln
Matthias Lehmann,"1,79",74,1. FC Köln
Dominik Maroh,"1,86",80,1. FC Köln
Marcel Risse,"1,83",78,1. FC Köln
Patrick Helmes,"1,82",78,1. FC Köln
Willi Evseev,"1,76",66,1. FC Nürnberg
Markus Mendler,"1,73",66,1. FC Nürnberg
Niclas Füllkrug,"1,88",78,1. FC Nürnberg
Valérien Ismaël,"1,91",81,1. FC Nürnberg
Adrian Nikci,"1,83",75,1. FC Nürnberg
Timo Gebhart,"1,82",75,1. FC Nürnberg
Marek Mintál,"1,83",78,1. FC Nürnberg
Jan Polak,"1,81",77,1. FC Nürnberg
Horacio Javier Pinola,"1,82",79,1. FC Nürnberg
Raphael Schäfer,"1,90",86,1. FC Nürnberg
Patrick Rakovsky,"1,86",84,1. FC Nürnberg
Benjamin Köhler,"1,72",66,1. FC Union Berlin
Martin Kobylanski,"1,79",72,1. FC Union Berlin
Fabian Schönheim,"1,91",83,1. FC Union Berlin
Bayram Nebihi,"1,72",68,1. FC Union Berlin
Daniel Haas,"1,89",82,1. FC Union Berlin
Sebastian Polter,"1,90",83,1. FC Union Berlin
Mario Eggimann,"1,89",84,1. FC Union Berlin
Torsten Mattuschka,"1,86",82,1. FC Union Berlin
Uwe Neuhaus,"1,84",81,1. FC Union Berlin
Michael Parensen,"1,80",78,1. FC Union Berlin
Adam Nemec,"1,90",87,1. FC Union Berlin
Niko Bungert,"1,88",68,1. FSV Mainz 05
Christoph Moritz,"1,85",70,1. FSV Mainz 05
Nicolai Müller,"1,75",64,1. FSV Mainz 05
Tobias Schilk,"1,83",70,1. FSV Mainz 05
Loris Karius,"1,87",75,1. FSV Mainz 05
Christian Clemens,"1,80",70,1. FSV Mainz 05
Yunus Malli,"1,79",70,1. FSV Mainz 05
Ja-Cheol Koo,"1,83",73,1. FSV Mainz 05
Jonas Hofmann,"1,74",67,1. FSV Mainz 05
Daniel Brosinski,"1,78",70,1. FSV Mainz 05
Elkin Soto,"1,78",71,1. FSV Mainz 05
Joo Ho Park,"1,76",70,1. FSV Mainz 05
Nikita Rukavytsya,"1,82",75,1. FSV Mainz 05
Thomas Tuchel,"1,90",83,1. FSV Mainz 05
Johannes Geis,"1,77",73,1. FSV Mainz 05
Stefan Bell,"1,92",86,1. FSV Mainz 05
Shinji Okazaki,"1,73",70,1. FSV Mainz 05
Dani Schahin,"1,87",82,1. FSV Mainz 05
Markus Feulner,"1,81",77,1. FSV Mainz 05
Petar Sliskovic,"1,93",88,1. FSV Mainz 05
Julian Baumgartlinger,"1,81",79,1. FSV Mainz 05
Nikolce Noveski,"1,90",87,1. FSV Mainz 05
Chinedu Ede,"1,78",78,1. FSV Mainz 05
Niki Zimling,"1,75",77,1. FSV Mainz 05
Oliver Baumann,"1,85",70,1899 Hoffenheim
Tarik Elyounoussi,"1,72",62,1899 Hoffenheim
Tim Paterok,"1,91",77,1899 Hoffenheim
Pirmin Schwegler,"1,79",68,1899 Hoffenheim
Anthony Modeste,"1,86",74,1899 Hoffenheim
Ahmed Sassi,"1,79",69,1899 Hoffenheim
Adam Szalai,"1,93",80,1899 Hoffenheim
Robin Szarka,"1,76",67,1899 Hoffenheim
Andreas Beck,"1,80",70,1899 Hoffenheim
Eugen Polanski,"1,83",73,1899 Hoffenheim
Pelle Jensen,"1,93",83,1899 Hoffenheim
Knowledge Musona,"1,74",68,1899 Hoffenheim
Matthias Jaissle,"1,86",78,1899 Hoffenheim
Kevin Volland,"1,80",74,1899 Hoffenheim
Sebastian Rudy,"1,77",72,1899 Hoffenheim
Eren Derdiyok,"1,90",83,1899 Hoffenheim
Sven Schipplock,"1,85",79,1899 Hoffenheim
Jens Grahl,"1,93",86,1899 Hoffenheim
Kai Herdling,"1,76",72,1899 Hoffenheim
Alexander Stolz,"1,89",83,1899 Hoffenheim
Ermin Bicakcic,"1,85",80,1899 Hoffenheim
Roberto Firmino,"1,80",76,1899 Hoffenheim
Filip Malbasic,"1,82",78,1899 Hoffenheim
Sejad Salihovic,"1,80",80,1899 Hoffenheim
Lars Bender,"1,82",68,Bayer Leverkusen
Stefan Reinartz,"1,88",75,Bayer Leverkusen
Josip Drmic,"1,82",71,Bayer Leverkusen
Stefan Kießling,"1,91",78,Bayer Leverkusen
Karim Bellarabi,"1,84",73,Bayer Leverkusen
Bernd Leno,"1,90",79,Bayer Leverkusen
Simon Rolfes,"1,89",79,Bayer Leverkusen
Philipp Wollscheid,"1,94",84,Bayer Leverkusen
Robbie Kruse,"1,79",72,Bayer Leverkusen
David Yelldell,"1,94",85,Bayer Leverkusen
Heung-Min Son,"1,83",76,Bayer Leverkusen
Emir Spahic,"1,83",77,Bayer Leverkusen
Roberto Hilbert,"1,82",77,Bayer Leverkusen
Michael Ortega,"1,77",73,Bayer Leverkusen
Kyriakos Papadopoulos,"1,83",78,Bayer Leverkusen
Sebastian Boenisch,"1,91",85,Bayer Leverkusen
Ömer Toprak,"1,86",81,Bayer Leverkusen
Hakan Calhanoglu,"1,76",73,Bayer Leverkusen
Kostas Stafylidis,"1,77",74,Bayer Leverkusen
Gonzalo Castro,"1,70",70,Bayer Leverkusen
Giulio Donati,"1,75",76,Bayer Leverkusen
Kevin Kampl,"1,79",64,Borussia Dortmund
Kevin Großkreutz,"1,86",70,Borussia Dortmund
Nuri Sahin,"1,79",65,Borussia Dortmund
Sven Bender,"1,83",68,Borussia Dortmund
Mitchell Langerak,"1,91",77,Borussia Dortmund
Lukasz Piszczek,"1,84",74,Borussia Dortmund
Shinji Kagawa,"1,72",65,Borussia Dortmund
Oliver Kirch,"1,82",73,Borussia Dortmund
Jakub Blaszczykowski,"1,73",67,Borussia Dortmund
Marcel Schmelzer,"1,81",74,Borussia Dortmund
Sebastian Kehl,"1,88",80,Borussia Dortmund
